Record Date,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2025-06-30,9683,2128208.72,57122.64,2071086.08,2025,3,2025,2,06,30
2025-06-30,38950,33781227.74,424255.27,33356972.47,2025,3,2025,2,06,30
2025-06-30,100643,7206828300.00,0.00,7206828300.00,2025,3,2025,2,06,30
2025-05-31,16366,4271014.01,109732.68,4161281.33,2025,3,2025,2,05,31
2025-05-31,74936,104091045.87,1248587.24,102842458.63,2025,3,2025,2,05,31
2025-05-31,195902,15295406000.00,178891200.00,15116514800.00,2025,3,2025,2,05,31
2025-05-31,760,23845400.00,304000.00,23541400.00,2025,3,2025,2,05,31
2025-05-31,4117,115887500.00,8163600.00,107723900.00,2025,3,2025,2,05,31
2025-04-30,16561,4994303.82,148253.00,4846050.82,2025,3,2025,2,04,30
2025-04-30,86720,191592276.33,1587130.67,190005145.66,2025,3,2025,2,04,30
2025-04-30,199777,15913578200.00,174535200.00,15739043000.00,2025,3,2025,2,04,30
2025-04-30,1732,53486300.00,10803500.00,42682800.00,2025,3,2025,2,04,30
2025-04-30,8993,287403400.00,5191600.00,282211800.00,2025,3,2025,2,04,30
2025-03-31,16379,5665748.28,192151.59,5473596.69,2025,2,2025,1,03,31
2025-03-31,72078,93249732.55,916701.08,92333031.47,2025,2,2025,1,03,31
2025-03-31,175867,13594937900.00,181971100.00,13412966800.00,2025,2,2025,1,03,31
2025-03-31,1398,45421400.00,757500.00,44663900.00,2025,2,2025,1,03,31
2025-03-31,9445,343187100.00,8695200.00,334491900.00,2025,2,2025,1,03,31
2025-02-28,15941,6294305.62,100433.36,6193872.26,2025,2,2025,1,02,28
2025-02-28,71245,108202240.72,1065536.38,107136704.34,2025,2,2025,1,02,28
2025-02-28,179409,14079442600.00,149345900.00,13930096700.00,2025,2,2025,1,02,28
2025-02-28,2824,58764800.00,2267100.00,56497700.00,2025,2,2025,1,02,28
2025-02-28,12266,527957900.00,8077400.00,519880500.00,2025,2,2025,1,02,28
2025-01-31,20875,16466249.40,356033.46,16110215.94,2025,2,2025,1,01,31
2025-01-31,111814,355101837.17,3945377.30,351156459.87,2025,2,2025,1,01,31
2025-01-31,199315,15843146500.00,177576400.00,15665570100.00,2025,2,2025,1,01,31
2025-01-31,2042,50560300.00,1186800.00,49373500.00,2025,2,2025,1,01,31
2025-01-31,15512,614311000.00,15345300.00,598965700.00,2025,2,2025,1,01,31
2024-12-31,31020,8917262.61,264331.45,8652931.16,2025,1,2024,4,12,31
2024-12-31,100607,93791692.52,1021351.75,92770340.77,2025,1,2024,4,12,31
2024-12-31,188044,14750409800.00,169692000.00,14580717800.00,2025,1,2024,4,12,31
2024-12-31,2891,74470300.00,279000.00,74191300.00,2025,1,2024,4,12,31
2024-12-31,18362,680814400.00,3640700.00,677173700.00,2025,1,2024,4,12,31
2024-11-30,19212,4926113.00,119014.01,4807098.99,2025,1,2024,4,11,30
2024-11-30,79404,51000290.79,867680.47,50132610.32,2025,1,2024,4,11,30
2024-11-30,170738,13028129600.00,148312700.00,12879816900.00,2025,1,2024,4,11,30
2024-11-30,737,16000100.00,2707500.00,13292600.00,2025,1,2024,4,11,30
2024-11-30,4422,159749900.00,9107400.00,150642500.00,2025,1,2024,4,11,30
2024-10-31,18594,5479617.02,160193.39,5319423.63,2025,1,2024,4,10,31
2024-10-31,100092,157157772.98,1681839.82,155475933.16,2025,1,2024,4,10,31
2024-10-31,217976,16455693300.00,191315900.00,16264377400.00,2025,1,2024,4,10,31
2024-10-31,1312,30256800.00,762200.00,29494600.00,2025,1,2024,4,10,31
2024-10-31,8945,333263200.00,3860600.00,329402600.00,2025,1,2024,4,10,31
2024-09-30,18244,5050840.58,201809.95,4849030.63,2024,4,2024,3,09,30
2024-09-30,86857,73334138.71,985227.39,72348911.32,2024,4,2024,3,09,30
2024-09-30,193105,13880375200.00,211709600.00,13668665600.00,2024,4,2024,3,09,30
2024-09-30,2488,73409800.00,1030100.00,72379700.00,2024,4,2024,3,09,30
2024-09-30,15061,602476700.00,8869400.00,593607300.00,2024,4,2024,3,09,30
2024-08-31,184998,13035699400.00,189976700.00,12845722700.00,2024,4,2024,3,08,31
2024-08-31,18439,4531236.68,154640.02,4376596.66,2024,4,2024,3,08,31
2024-08-31,86444,61295194.77,928907.52,60366287.25,2024,4,2024,3,08,31
2024-08-31,971,28818600.00,498000.00,28320600.00,2024,4,2024,3,08,31
2024-08-31,3779,172289400.00,2955400.00,169334000.00,2024,4,2024,3,08,31
2024-07-31,18494,4414167.94,231376.44,4182791.50,2024,4,2024,3,07,31
2024-07-31,89412,65349273.60,1118216.74,64231056.86,2024,4,2024,3,07,31
2024-07-31,235454,16522073600.00,205940900.00,16316132700.00,2024,4,2024,3,07,31
2024-07-31,1918,49085900.00,4325500.00,44760400.00,2024,4,2024,3,07,31
2024-07-31,18966,763868800.00,4815700.00,759053100.00,2024,4,2024,3,07,31
2024-06-30,16889,3944886.69,91878.88,3853007.81,2024,3,2024,2,06,30
2024-06-30,81778,62805067.73,801256.06,62003811.67,2024,3,2024,2,06,30
2024-06-30,211584,13978457700.00,166822700.00,13811635000.00,2024,3,2024,2,06,30
2024-06-30,479,13924100.00,2405000.00,11519100.00,2024,3,2024,2,06,30
2024-06-30,4106,129465900.00,6408700.00,123057200.00,2024,3,2024,2,06,30
2024-05-31,19122,5153377.23,148107.02,5005270.21,2024,3,2024,2,05,31
2024-05-31,99647,107968869.03,1593924.16,106374944.87,2024,3,2024,2,05,31
2024-05-31,246129,15867729400.00,253019800.00,15614709600.00,2024,3,2024,2,05,31
2024-05-31,2104,49039300.00,1841200.00,47198100.00,2024,3,2024,2,05,31
2024-05-31,14420,549758100.00,12478300.00,537279800.00,2024,3,2024,2,05,31
2024-04-30,19442,7136868.80,150604.70,6986264.10,2024,3,2024,2,04,30
2024-04-30,2579,79150000.00,418700.00,78731300.00,2024,3,2024,2,04,30
2024-04-30,22432,879033200.00,2401900.00,876631300.00,2024,3,2024,2,04,30
2024-04-30,160077,501344154.71,3282005.57,498062149.14,2024,3,2024,2,04,30
2024-04-30,262872,17194539800.00,219700400.00,16974839400.00,2024,3,2024,2,04,30
2024-03-31,19547,6639347.22,159405.02,6479942.20,2024,2,2024,1,03,31
2024-03-31,123400,256167995.03,2035432.90,254132562.13,2024,2,2024,1,03,31
2024-03-31,226476,14273428700.00,173116900.00,14100311800.00,2024,2,2024,1,03,31
2024-03-31,416,7035200.00,10555600.00,-3520400.00,2024,2,2024,1,03,31
2024-03-31,3483,125720500.00,1970600.00,123749900.00,2024,2,2024,1,03,31
2024-02-29,18597,7562639.27,171238.95,7391400.32,2024,2,2024,1,02,29
2024-02-29,123940,311195405.16,2631600.30,308563804.86,2024,2,2024,1,02,29
2024-02-29,244577,15672311900.00,152934000.00,15519377900.00,2024,2,2024,1,02,29
2024-02-29,2923,97912900.00,2658800.00,95254100.00,2024,2,2024,1,02,29
2024-02-29,11826,507907700.00,5897600.00,502010100.00,2024,2,2024,1,02,29
2024-01-31,207523,946746415.33,7703355.76,939043059.57,2024,2,2024,1,01,31
2024-01-31,267696,17149716800.00,163478600.00,16986238200.00,2024,2,2024,1,01,31
2024-01-31,2631,74292200.00,3299700.00,70992500.00,2024,2,2024,1,01,31
2024-01-31,18821,794591300.00,13382600.00,781208700.00,2024,2,2024,1,01,31
2024-01-31,22902,19847025.54,269387.56,19577637.98,2024,2,2024,1,01,31
2023-12-31,32398,10300467.89,89994.57,10210473.32,2024,1,2023,4,12,31
2023-12-31,147810,251598541.87,2571827.08,249026714.79,2024,1,2023,4,12,31
2023-12-31,219565,13565331800.00,165215300.00,13400116500.00,2024,1,2023,4,12,31
2023-12-31,669,24008500.00,12291200.00,11717300.00,2024,1,2023,4,12,31
2023-12-31,4972,166090400.00,19400500.00,146689900.00,2024,1,2023,4,12,31
2023-11-30,21221,6624205.09,142941.28,6481263.81,2024,1,2023,4,11,30
2023-11-30,137204,258376752.43,2075741.51,256301010.92,2024,1,2023,4,11,30
2023-11-30,262325,15135426500.00,170313200.00,14965113300.00,2024,1,2023,4,11,30
2023-11-30,3217,85643200.00,578500.00,85064700.00,2024,1,2023,4,11,30
2023-11-30,17708,639367200.00,8411200.00,630956000.00,2024,1,2023,4,11,30
